date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:45	73095/73095	---M-Z	200	added ('OK')	text/html	etag:W/%225638562e98d0a5b021ab4edb2b78f1e5%22	https://www.aditi-surana.com/pact	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/pact.html	(from https://www.aditi-surana.com/)
18:47:45	83685/83685	---M-Z	200	added ('OK')	text/html	etag:W/%22be59ed338a031cbfedbf69cd6c6b2ff8%22	https://www.aditi-surana.com/trace	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/trace.html	(from https://www.aditi-surana.com/)
18:47:46	56715/56715	---M-Z	200	added ('OK')	text/html	etag:W/%22890790aca104ff45621382a9f139d2fe%22	https://www.aditi-surana.com/only-human	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/only-human.html	(from https://www.aditi-surana.com/)
18:47:47	66455/66455	---M-Z	200	added ('OK')	text/html	etag:W/%22e85eee1ec058c18d29d8fb9c96d9fee4%22	https://www.aditi-surana.com/labyrinth	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/labyrinth.html	(from https://www.aditi-surana.com/)
18:47:47	67593/67593	---M-Z	200	added ('OK')	text/html	etag:W/%2206520ca99bbc67f497934c21223fb946-gzip%22	https://www.aditi-surana.com/totem	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/totem.html	(from https://www.aditi-surana.com/)
18:47:50	99757/99757	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Jun%202019%2022:47:46%20GMT	https://static1.squarespace.com/static/ta/55dccaa0e4b0f748d9f6f215/947/scripts/site-bundle.js	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/ta/55dccaa0e4b0f748d9f6f215/947/scripts/site-bundle.js	(from https://www.aditi-surana.com/)
18:47:57	1530165/1530165	---M-Z	200	added ('OK')	text/javascript	etag:%228bff6cb2c52e28359f2d24c7ba9b203e%22	http://assets.squarespace.com/universal/scripts-compressed/common-b9dd203a1cb3bba01059-min.en-US.js	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/scripts-compressed/common-b9dd203a1cb3bba01059-min.en-US.js	(from https://www.aditi-surana.com/)
18:47:57	325/325	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Jun%202019%2022:47:55%20GMT	http://www.aditi-surana.com/robots.txt		(from https://www.aditi-surana.com/)
18:47:58	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:47:58	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:47:58	1219/1219	---M--	200	added ('OK')	image/png	etag:W/%22ce3bee3cfda356961d1df8f35f8879f8%22	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:47:58	2909/2909	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:47:59	1031285/1031285	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2022:47:57%20GMT	http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/gallery-play-big.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/gallery-play-big.css	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:00	1031285/1031285	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202019%2022:47:58%20GMT	http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/gallery-play-big@2x.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/gallery-play-big@2x.css	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:02	2968/2968	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:02	3097/3097	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:02	3051/3051	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:56%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:03	3420/3420	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:11%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:03	1042/1042	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:03	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:10%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:03	1057/1057	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:04	1048/1048	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:04	3072/3072	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:04	3374/3374	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:04	3010/3010	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:06%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:05	3216/3216	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:05	561/561	---M--	200	added ('OK')	image/png	etag:%226c71aa26eaf5c7a5a14d8239e2b3e6e1%22	http://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:05	1672/1672	---M--	200	added ('OK')	image/png	etag:%22dea2b235f4b37c5774a8cb47f3424529%22	http://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:05	2320/2320	---M--	200	added ('OK')	image/png	etag:%22a1463ff63d2b0a139f48be2db0641717%22	http://static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:06	361/361	---M--	200	added ('OK')	image/png	etag:%22e6aa6f7aada61660fea95ee320a8064a%22	http://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:06	3034/3034	---M--	200	added ('OK')	image/png	etag:%22a719c027f9edaea23e767d669b3e098f%22	http://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:06	365/365	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:06	1314/1314	---M--	200	added ('OK')	image/png	etag:%22a97813aa1c8a5764999edfb5a5295281%22	http://static1.squarespace.com/universal/images-v6/damask/image-inside-64-dark.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/damask/image-inside-64-dark.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:07	2831/2831	---M--	200	added ('OK')	image/png	etag:%225605efa1576bc2746410ce0ae77f5949%22	http://static1.squarespace.com/universal/images-v6/damask/image-inside-128-dark.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/universal/images-v6/damask/image-inside-128-dark.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:07	176/176	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/standard/icon_close_7_light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/standard/icon_close_7_light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:07	3058/3058	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:59%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-settings-16-light.png	C:/My%20Web%20Sites/UIPortfolio/assets.squarespace.com/universal/images-v6/icons/icon-settings-16-light.png	(from http://static1.squarespace.com/static/sitecss/56a2c87ffd5d08f0c1bdd265/207/55dccafee4b04b8e0d7b6d4d/586d84c003596e659c283a85/947-05142015/1496121134477/site.css?&filterFeatures=false)
18:48:08	91774/91774	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:48:06%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/5885a982db29d6b295d9625e/1487606053012/Artboard.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/5885a982db29d6b295d9625e/1487606053012/Artboard.png	(from https://www.aditi-surana.com/carbon-current)
18:48:08	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2024%20Jun%202019%2022:48:07%20UTC	https://www.aditi-surana.com/%22https://player.vimeo.com/video/204651186?wmode=opaque&amp;api=1\%22	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/_https_/player.vimeo.com/video/204651186.2cf0ec.delayed	(from https://www.aditi-surana.com/carbon-current)
18:48:09	40755/40755	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229cf7d83b45f8dd03291d345be02a89e9%22	https://www.aditi-surana.com/%22https://player.vimeo.com/video/204651186?wmode=opaque&api=1%22	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/_https_/player.vimeo.com/video/204651186.2dfbba.delayed	(from https://www.aditi-surana.com/carbon-current)
18:48:10	846061/846061	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:48:08%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/5885a3cc59cc684854bfb158/1485153236736/ut1.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/5885a3cc59cc684854bfb158/1485153236736/ut1.png	(from https://www.aditi-surana.com/carbon-current)
18:48:11	138039/138039	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2022:48:09%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/5885a997bf629a055af8ce3e/1485154712259/IMG-20161219-WA0001.jpg	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/5885a997bf629a055af8ce3e/1485154712259/IMG-20161219-WA0001.jpg	(from https://www.aditi-surana.com/carbon-current)
18:48:11	67742/67742	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2022:48:10%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/58a7f77ce3df28bbc8600029/1487402881054/Screen+Shot+2017-02-18+at+1.22.14+AM.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/58a7f77ce3df28bbc8600029/1487402881054/Screen+Shot+2017-02-18+at+1.22.14+AM.jpg	(from https://www.aditi-surana.com/carbon-current)
18:48:12	77087/77087	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202019%2022:48:10%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f6f2437c581e64b3f6f19/1486843706027/header.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f6f2437c581e64b3f6f19/1486843706027/header.jpg	(from https://www.aditi-surana.com/pact)
18:48:12	316705/316705	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:48:10%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f6995ebbd1a557df85309/1486842273712/Screen+Shot+2017-02-11+at+2.43.09+PM.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f6995ebbd1a557df85309/1486842273712/Screen+Shot+2017-02-11+at+2.43.09+PM.png	(from https://www.aditi-surana.com/pact)
18:48:12	248926/248926	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:48:11%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f68ec03596e1e0c9c0389/1486842118292/scenario.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f68ec03596e1e0c9c0389/1486842118292/scenario.png	(from https://www.aditi-surana.com/pact)
18:48:13	247498/247498	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:48:11%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f684bd1758ebeb9eafb47/1486841954820/pic4.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f684bd1758ebeb9eafb47/1486841954820/pic4.png	(from https://www.aditi-surana.com/pact)
18:48:13	240733/240733	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2022:48:11%20GMT	https://static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f67b09de4bbd20b91289a/1486841811757/final.png	C:/My%20Web%20Sites/UIPortfolio/static1.squarespace.com/static/56a2c87ffd5d08f0c1bdd265/t/589f67b09de4bbd20b91289a/1486841811757/final.png	(from https://www.aditi-surana.com/pact)
18:48:13	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2024%20Jun%202019%2022:48:12%20UTC	https://www.aditi-surana.com/%22//www.youtube.com/embed/lmlza-0b8y8?wmode=opaque&amp;enablejsapi=1\%22	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/_/www.youtube.com/embed/lmlza-0b8y8.369ae1.delayed	(from https://www.aditi-surana.com/trace)
18:48:14	40755/40755	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%229cf7d83b45f8dd03291d345be02a89e9%22	https://www.aditi-surana.com/%22//www.youtube.com/embed/lmlza-0b8y8?wmode=opaque&enablejsapi=1%22	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/_/www.youtube.com/embed/lmlza-0b8y8.378344.delayed	(from https://www.aditi-surana.com/trace)
18:48:14	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2024%20Jun%202019%2022:48:13%20UTC	https://www.aditi-surana.com/%22//www.youtube.com/embed/LiLePt0dKtY?wmode=opaque&amp;enablejsapi=1\%22	C:/My%20Web%20Sites/UIPortfolio/www.aditi-surana.com/_/www.youtube.com/embed/LiLePt0dKtY.389ae1.delayed	(from https://www.aditi-surana.com/trace)
